kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
test_cuda.1.sm_52.ptx 40 : 32 160 0 0 0 0 0 0 0 
test_cuda.1.sm_52.ptx 39 : 32 192 0 0 0 4 1 0 0 
test_cuda.1.sm_52.ptx 38 : 32 288 0 0 0 0 0 0 0 
test_cuda.1.sm_52.ptx 37 : 32 288 0 0 0 0 0 0 0 
test_cuda.1.sm_52.ptx 36 : 32 288 0 0 0 0 0 0 0 
test_cuda.1.sm_52.ptx 35 : 32 192 0 0 0 0 0 0 0 
test_cuda.1.sm_52.ptx 34 : 32 6240 0 0 0 4 1 0 0 
test_cuda.1.sm_52.ptx 33 : 32 288 0 0 0 0 0 0 0 
test_cuda.1.sm_52.ptx 32 : 32 288 0 0 0 0 0 0 0 
test_cuda.1.sm_52.ptx 27 : 32 64 0 0 0 0 0 0 0 
test_cuda.1.sm_52.ptx 26 : 32 64 0 0 0 0 0 0 0 
test_cuda.1.sm_52.ptx 28 : 32 192 0 0 0 0 0 0 0 
test_cuda.1.sm_52.ptx 29 : 32 192 0 0 0 0 0 0 0 
test_cuda.1.sm_52.ptx 30 : 32 160 0 0 0 0 0 0 0 
test_cuda.1.sm_52.ptx 31 : 32 192 0 0 0 0 0 0 0 
